PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS
203932,Aaron Gordon,Aaron,1610612743,DEN,26.0,32,16,16,0.5,1023.3283333333334,174,334,0.521,32,96,0.333,72,102,0.706,59,120,179,71,52,21,22,25,61,95,452,90,850.3,2,0,105,114,439,255,63,81,107,106,172,169,236,75,64,335,38,104,70,131,91,166,64,522,441,56,92,61,107,91,24,5,"203932,1610612743"
1630565,Aaron Henry,Aaron,1610612755,PHI,22.0,4,4,0,1.0,11.7,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,2,0,2,1,1,0,0,-13,5.2,0,0,471,412,1,1,533,539,541,539,460,488,460,496,501,496,515,522,536,519,452,498,366,103,36,520,546,344,540,174,24,5,"1630565,1610612755"
1628988,Aaron Holiday,Aaron,1610612764,WAS,25.0,32,16,16,0.5,538.095,83,174,0.477,19,52,0.365,19,24,0.792,4,47,51,58,30,18,8,8,51,33,204,-68,400.2,0,0,105,114,439,255,241,214,223,178,229,248,170,268,277,216,406,295,318,160,185,203,215,318,376,226,227,500,254,174,24,5,"1628988,1610612764"
1630174,Aaron Nesmith,Aaron,1610612738,BOS,22.0,27,13,14,0.481,294.305,32,91,0.352,15,63,0.238,7,9,0.778,7,38,45,10,17,8,1,1,38,12,86,-46,165.0,0,0,220,205,381,325,332,340,320,464,255,229,397,364,368,230,350,324,336,380,279,324,415,103,310,355,342,457,363,174,24,5,"1630174,1610612738"
1630598,Aaron Wiggins,Aaron,1610612760,OKC,23.0,18,5,13,0.278,359.76,45,84,0.536,15,41,0.366,18,26,0.692,9,43,52,17,15,10,4,2,34,20,123,2,237.9,0,0,348,389,349,483,303,309,329,89,255,275,168,274,268,354,324,308,315,326,300,296,312,160,287,307,305,237,327,174,24,5,"1630598,1610612760"
1627846,Abdel Nader,Abdel,1610612756,PHX,28.0,14,11,3,0.786,145.23833333333334,12,35,0.343,4,14,0.286,6,10,0.6,4,23,27,7,11,8,4,2,20,14,34,-2,101.9,0,0,386,262,117,62,390,416,403,470,356,366,342,378,360,413,406,374,386,403,340,324,312,160,214,343,412,269,391,174,24,5,"1627846,1610612756"
1630278,Ade Murkey,Ade,1610612758,SAC,23.0,1,0,1,0.0,1.4666666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,550,546,32,546,570,539,567,539,460,521,460,496,501,496,515,549,552,519,522,498,466,1,1,520,546,257,566,174,24,5,"1630278,1610612758"
1629678,Admiral Schofield,Admiral,1610612753,ORL,24.0,9,2,7,0.222,152.405,19,35,0.543,5,17,0.294,0,1,0.0,2,26,28,9,7,1,3,2,20,4,43,-35,95.1,0,0,426,445,200,502,385,381,403,82,343,349,332,496,496,496,440,365,381,390,374,450,344,160,214,428,392,424,396,174,24,5,"1629678,1610612753"
201143,Al Horford,Al,1610612738,BOS,35.0,28,14,14,0.5,842.5766666666667,120,274,0.438,36,124,0.29,55,64,0.859,46,176,222,108,31,21,46,6,64,53,331,-2,929.4,8,0,202,169,381,255,125,146,140,279,155,128,337,104,122,119,63,39,48,72,175,166,11,270,458,150,142,269,79,38,24,5,"201143,1610612738"
202692,Alec Burks,Alec,1610612752,NYK,30.0,36,17,19,0.472,963.4666666666667,133,328,0.405,72,170,0.424,93,114,0.816,17,129,146,81,34,43,10,14,82,102,431,33,852.7,0,0,20,96,500,336,86,129,112,370,47,69,70,50,50,180,226,91,115,104,155,31,180,418,527,54,102,146,106,174,24,5,"202692,1610612752"
1630758,Aleem Ford,Aleem,1610612753,ORL,24.0,5,2,3,0.4,73.53,6,20,0.3,2,15,0.133,0,0,0.0,2,13,15,2,4,1,0,1,7,3,14,-35,34.0,0,0,459,445,117,408,439,456,441,501,394,362,452,496,501,496,440,418,430,466,414,450,466,103,132,448,466,424,473,174,24,5,"1630758,1610612753"
1630197,Aleksej Pokusevski,Aleksej,1610612760,OKC,20.0,33,13,20,0.394,494.9716666666667,61,177,0.345,18,80,0.225,7,14,0.5,32,105,137,37,37,16,16,10,42,21,147,-30,425.9,0,0,77,205,522,418,250,264,218,469,238,199,406,364,333,447,118,135,134,231,144,221,110,352,332,296,282,406,243,174,24,5,"1630197,1610612760"
1627936,Alex Caruso,Alex,1610612741,CHI,27.0,26,18,8,0.692,728.9583333333334,73,163,0.448,28,77,0.364,44,53,0.83,25,72,97,103,39,53,9,12,66,63,218,120,635.9,1,0,242,78,221,102,167,237,233,257,189,205,173,132,143,161,157,224,207,77,129,9,200,387,470,116,218,38,163,118,24,5,"1627936,1610612741"
203458,Alex Len,Alex,1610612758,SAC,28.0,22,10,12,0.455,372.84833333333336,52,97,0.536,6,15,0.4,23,36,0.639,25,67,92,23,26,5,21,7,66,35,133,-43,329.9,0,0,311,294,325,353,297,291,312,88,331,362,96,244,217,394,157,233,223,291,212,361,69,296,470,214,298,450,279,174,24,5,"203458,1610612758"
1628035,Alfonzo McKinnie,Alfonzo,1610612741,CHI,29.0,4,3,1,0.75,82.8,9,21,0.429,6,13,0.462,0,2,0.0,4,5,9,3,2,1,2,0,8,2,24,-27,46.3,0,0,471,426,32,74,429,434,438,303,331,371,40,496,466,496,406,470,455,446,452,450,366,1,141,470,436,391,452,174,24,5,"1628035,1610612741"
1628993,Alize Johnson,Alize,1610612764,WAS,25.0,19,11,8,0.579,138.77,14,29,0.483,0,4,0.0,4,8,0.5,21,27,48,8,11,3,0,5,15,10,32,-66,99.6,0,0,336,262,221,181,396,404,417,167,460,429,460,400,380,447,183,360,326,395,340,403,466,249,183,367,419,497,393,174,24,5,"1628993,1610612764"
1630578,Alperen Sengun,Alperen,1610612745,HOU,19.0,35,10,25,0.286,644.2183333333334,110,220,0.5,12,39,0.308,83,118,0.703,60,107,167,92,68,32,30,26,108,115,315,-127,771.4,2,0,38,294,564,477,194,160,175,128,271,282,306,64,44,341,35,129,83,88,51,71,35,531,569,41,150,549,120,91,24,5,"1630578,1610612745"
1629599,Amir Coffey,Amir,1610612746,LAC,24.0,25,10,15,0.4,409.32666666666665,37,91,0.407,21,59,0.356,32,37,0.865,7,57,64,25,7,8,6,4,21,28,127,27,276.3,0,0,263,294,406,408,282,326,320,366,222,237,190,183,215,112,350,267,293,284,374,324,255,221,222,259,302,155,309,174,24,5,"1629599,1610612746"
203083,Andre Drummond,Andre,1610612755,PHI,28.0,31,16,15,0.516,603.1866666666666,80,156,0.513,0,1,0.0,33,58,0.569,93,195,288,59,51,32,33,18,75,55,193,-15,771.1,5,0,131,114,406,243,211,222,240,115,460,488,460,179,132,434,12,25,16,157,93,71,26,466,508,140,236,356,121,56,24,5,"203083,1610612755"
